#0       1             2              3              4              5              6              7
#n   starPmass       starX          starY          starZ          starVx         starVy         starVz
148972  1.0002224e-05 -4.2060579e-01  9.5552348e-01 -7.1376160e-01  3.4394689e+00 -1.7229391e+01  1.5382749e+01 
148973  1.0002224e-05 -7.4178818e-01 -5.9730974e-01 -3.8283008e-01  1.3601323e+01  2.4600526e+01  1.2952988e+01 
148974  1.0002224e-05  6.8478862e-02 -1.4753800e-01 -2.0605600e-01  7.4447337e+01 -3.8756903e+01 -3.3753682e+01 
148975  1.0002224e-05 -1.5136006e+00 -6.8254133e-01  8.0100027e-01 -4.2494989e+01  2.2136124e+01 -5.5764454e+01 
148976  1.0002224e-05 -5.9259501e-02  3.8052791e-01 -2.5251838e-02 -3.7172239e+00 -2.7599700e+01  2.5008871e+01 
148977  1.0002224e-05  2.8487351e-01  4.7391298e-01  3.4815481e-01 -4.8865955e+01 -7.5705013e+00  3.1133106e+01 
148978  1.0002224e-05 -2.1878194e+00 -1.9173498e+00  3.1915097e+00 -1.9700014e+00 -3.8249344e+01  2.9365790e+01 
148979  1.0002224e-05  4.4215178e-01  5.5619270e-01  3.2897956e-01  1.4878217e+01  4.1239298e+01 -3.6183385e+01 
148980  1.0002224e-05 -7.2689585e-03 -1.0900954e-01  1.2791863e+00  1.0389337e+01 -6.9961537e+00  2.4515304e+01 
148981  1.0002224e-05  6.1251676e-01  3.1738976e-01 -4.5011598e-01 -1.2888079e+01  1.8541853e+00 -1.7974969e+01 
148982  1.0002224e-05 -2.9562022e-01  1.0445219e+00  9.5575143e-01 -7.9048202e+00 -3.4316912e+01  1.4246052e+01 
148983  1.0002224e-05 -6.0076777e+00 -4.8076269e+00 -2.9480288e+00 -1.3732921e+01  2.2966647e+01 -2.2932560e+01 
148984  1.0002224e-05 -2.5893444e-01 -1.1567732e+00 -3.6890356e-01 -1.9901549e+01  1.8970708e+01 -1.4585245e+01 
148985  1.0002224e-05 -5.3493287e-01  2.4273272e-01 -6.7242093e-01  2.6498628e+01  1.7746615e+01 -3.1104637e+01 
148986  1.0002224e-05  4.5397625e+00 -3.3206623e+00 -4.0996590e+00  2.3598740e+01 -1.0023830e+01 -1.8997739e+01 
148987  1.0002224e-05 -3.2975891e-01 -5.6484382e-01 -5.4282960e-02  4.9788530e+00 -1.6518503e+01  4.5026917e+01 
148988  1.0002224e-05 -8.6556938e-01 -1.9589710e-01 -1.6358929e-01 -1.3808343e+01 -1.6540665e+01 -1.4426425e+01 
148989  1.0002224e-05  6.6566616e-03  2.3547366e-01  1.3717251e-01 -2.6890026e+01 -8.2548968e+00  1.0928447e+01 
148990  1.0002224e-05  2.0676732e-02  5.2111073e-01 -1.4860326e-01  2.1048068e+01 -2.7676616e+01 -1.8660211e+01 
148991  1.0002224e-05 -2.8371751e+00  5.3258913e-01  1.5134594e+00 -1.3143762e+00 -3.3691187e+01 -8.8670220e+01 
148992  1.0002224e-05 -3.3804555e+00  1.0213111e+01 -2.1440896e+00  3.1187731e+00 -5.1953873e+01  1.9471872e+01 
148993  1.0002224e-05 -4.9201727e-01 -4.7372419e-01 -1.5643553e-01 -8.0193572e+00  7.3089778e+00  3.3083375e+01 
148994  1.0002224e-05  7.4332874e-01 -1.2535159e-01  2.7625594e+00  6.7045334e+00 -1.1743329e+01  1.2896867e+01 
148995  1.0002224e-05  1.0241423e+00  7.1366288e-01 -2.6672892e-01  1.1731761e+01  2.5515081e+01  2.2817086e+01 
148996  1.0002224e-05 -9.1641554e-02  2.6847831e-01 -7.2562248e-02 -1.5123376e+00 -3.2110445e+01 -9.6237590e+00 
148997  1.0002224e-05  2.5977686e-01 -3.7537019e+00  1.0237174e+00  2.6933761e+01 -8.4951816e+01  1.0287044e+02 
148998  1.0002224e-05  2.6643370e-01  4.8722560e-01 -1.1427084e+00 -2.4481511e+01 -9.0032289e+00 -4.1606054e+01 
148999  1.0002224e-05  2.3877772e-01 -1.2746332e-01 -4.0641445e-01 -4.2197065e+01  3.6027600e+01  1.3480711e+00 
149000  1.0002224e-05 -1.6273462e-01  7.2924160e-01 -4.0770985e-01 -3.3607950e+01  3.3618070e+01 -2.4656668e+01 
149001  1.0002224e-05  1.0110480e+00  1.0912215e-01 -8.6260623e-01 -1.7862954e+01  5.5086930e+01 -1.5673148e+01 
